CarName,fueltype,carbody,drivewheel,enginelocation,enginetype,cylindernumber,price
129,0,3,1,0,3,2,7775.0
130,1,3,1,0,3,2,7975.0
133,0,3,1,0,3,2,7995.0
137,1,3,1,0,3,2,8195.0
131,1,3,1,0,3,2,8495.0
136,0,3,1,0,3,2,9495.0
132,1,3,1,0,3,2,9995.0
145,1,0,1,0,3,2,11595.0
146,1,2,1,0,3,2,9980.0
134,1,3,1,0,3,1,13295.0
135,0,3,1,0,3,2,13845.0
132,1,4,1,0,3,2,12290.0
139,1,3,2,0,3,2,12940.0
138,1,4,2,0,3,2,13415.0
140,1,3,2,0,3,2,15985.0
141,1,4,2,0,3,2,16515.0
143,1,3,2,0,3,2,18420.0
144,1,4,2,0,3,2,18950.0
139,1,3,2,0,3,2,16845.0
138,1,3,2,0,3,2,19045.0
140,1,3,2,0,5,3,21485.0
142,0,3,2,0,3,3,22470.0
143,1,3,2,0,3,2,22625.0
